Headline,Description,Date,Source,Headline_Tokens,Description_Tokens
func­tion­al hos­pi­tal left north­ern gaza says,un agency de­scribes sit­u­a­tion be­yond cat­a­stroph­ic pa­tients beg­ging food wa­ter,21-12-2023,Al Jazeera,"['func\xadtion\xadal', 'hos\xadpi\xadtal', 'left', 'north\xadern', 'gaza', 'says']","['un', 'agency', 'de\xadscribes', 'sit\xadu\xada\xadtion', 'be\xadyond', 'cat\xada\xadstroph\xadic', 'pa\xadtients', 'beg\xadging', 'food', 'wa\xadter']"
time labour move­ment takes stand pales­tine,unions claim care hu­man rights stay silent is­rael eth­nic cleans­ing cam­paign gaza,21-12-2023,Al Jazeera,"['time', 'labour', 'move\xadment', 'takes', 'stand', 'pales\xadtine']","['unions', 'claim', 'care', 'hu\xadman', 'rights', 'stay', 'silent', 'is\xadrael', 'eth\xadnic', 'cleans\xading', 'cam\xadpaign', 'gaza']"
unsc vote gaza get­ting de­layed re­peat­ed­ly,in­tense ne­go­ti­a­tions dragged en­sure us veto uae-led hu­man­i­tar­i­an res­o­lu­tion,21-12-2023,Al Jazeera,"['unsc', 'vote', 'gaza', 'get\xadting', 'de\xadlayed', 're\xadpeat\xaded\xadly']","['in\xadtense', 'ne\xadgo\xadti\xada\xadtions', 'dragged', 'en\xadsure', 'us', 'veto', 'uae-led', 'hu\xadman\xadi\xadtar\xadi\xadan', 'res\xado\xadlu\xadtion']"
is­raeli forces tar­get pales­tin­ian para­medics,is­rael army pre­vent­ing pales­tin­ian medics trans­port­ing wound­ed jenin oc­cu­pied west bank,21-12-2023,Al Jazeera,"['is\xadraeli', 'forces', 'tar\xadget', 'pales\xadtin\xadian', 'para\xadmedics']","['is\xadrael', 'army', 'pre\xadvent\xading', 'pales\xadtin\xadian', 'medics', 'trans\xadport\xading', 'wound\xaded', 'jenin', 'oc\xadcu\xadpied', 'west', 'bank']"
lebanon war jour­nal­ists,“ jour­nal­ists voic­es tamed ”,21-12-2023,Al Jazeera,"['lebanon', 'war', 'jour\xadnal\xadists']","['“', 'jour\xadnal\xadists', 'voic\xades', 'tamed', '”']"
is­raeli at­tack kills pales­tin­ian bor­der cross­ing chief gaza of­fi­cials,bassem ghaben di­rec­tor is­raeli-con­trolled karem abu salem cross­ing work­ing bring hu­man­i­tar­i­an aid gaza,21-12-2023,Al Jazeera,"['is\xadraeli', 'at\xadtack', 'kills', 'pales\xadtin\xadian', 'bor\xadder', 'cross\xading', 'chief', 'gaza', 'of\xadfi\xadcials']","['bassem', 'ghaben', 'di\xadrec\xadtor', 'is\xadraeli-con\xadtrolled', 'karem', 'abu', 'salem', 'cross\xading', 'work\xading', 'bring', 'hu\xadman\xadi\xadtar\xadi\xadan', 'aid', 'gaza']"
greece join us-led coali­tion pro­tect red sea ship­ping houthis,mar­itime al­liance wants counter threats yemeni rebel group says re­sponse is­raeli crimes gaza,21-12-2023,Al Jazeera,"['greece', 'join', 'us-led', 'coali\xadtion', 'pro\xadtect', 'red', 'sea', 'ship\xadping', 'houthis']","['mar\xaditime', 'al\xadliance', 'wants', 'counter', 'threats', 'yemeni', 'rebel', 'group', 'says', 're\xadsponse', 'is\xadraeli', 'crimes', 'gaza']"
un calls probe is­raeli army ac­cused killing un­armed pales­tini­ans,un rights of­fice says pos­si­ble war crime amid re­ports is­raeli forces al­leged­ly ex­e­cut­ed 11 pales­tin­ian men gaza,21-12-2023,Al Jazeera,"['un', 'calls', 'probe', 'is\xadraeli', 'army', 'ac\xadcused', 'killing', 'un\xadarmed', 'pales\xadtini\xadans']","['un', 'rights', 'of\xadfice', 'says', 'pos\xadsi\xadble', 'war', 'crime', 'amid', 're\xadports', 'is\xadraeli', 'forces', 'al\xadleged\xadly', 'ex\xade\xadcut\xaded', '11', 'pales\xadtin\xadian', 'men', 'gaza']"
anato­my zion­ist geno­cide,mo­ti­va­tions be­hind is­rael geno­ci­dal acts gaza way for­ward,21-12-2023,Al Jazeera,"['anato\xadmy', 'zion\xadist', 'geno\xadcide']","['mo\xadti\xadva\xadtions', 'be\xadhind', 'is\xadrael', 'geno\xadci\xaddal', 'acts', 'gaza', 'way', 'for\xadward']"
unsc strug­gles gaza truce vote de­lays is­rael or­ders mass evac­u­a­tions,pales­tini­ans await long-de­layed un se­cu­ri­ty coun­cil vote aid de­liv­ery death toll be­sieged gaza ex­ceeds 20000,21-12-2023,Al Jazeera,"['unsc', 'strug\xadgles', 'gaza', 'truce', 'vote', 'de\xadlays', 'is\xadrael', 'or\xadders', 'mass', 'evac\xadu\xada\xadtions']","['pales\xadtini\xadans', 'await', 'long-de\xadlayed', 'un', 'se\xadcu\xadri\xadty', 'coun\xadcil', 'vote', 'aid', 'de\xadliv\xadery', 'death', 'toll', 'be\xadsieged', 'gaza', 'ex\xadceeds', '20000']"
aus­tralian pro­test­ers kayaks con­front is­rael-linked ship,pro-pales­tin­ian pro­test­ers kayaks try­ing block is­rael-linked car­go ship mel­bourne aus­tralia,21-12-2023,Al Jazeera,"['aus\xadtralian', 'pro\xadtest\xaders', 'kayaks', 'con\xadfront', 'is\xadrael-linked', 'ship']","['pro-pales\xadtin\xadian', 'pro\xadtest\xaders', 'kayaks', 'try\xading', 'block', 'is\xadrael-linked', 'car\xadgo', 'ship', 'mel\xadbourne', 'aus\xadtralia']"
seen less hu­man is­lam­o­pho­bia surged amid is­rael gaza war,hate crimes com­plaints record lev­els al jazeera speaks pro­fes­sor john es­pos­i­to bet­ter un­der­stand,21-12-2023,Al Jazeera,"['seen', 'less', 'hu\xadman', 'is\xadlam\xado\xadpho\xadbia', 'surged', 'amid', 'is\xadrael', 'gaza', 'war']","['hate', 'crimes', 'com\xadplaints', 'record', 'lev\xadels', 'al', 'jazeera', 'speaks', 'pro\xadfes\xadsor', 'john', 'es\xadpos\xadi\xadto', 'bet\xadter', 'un\xadder\xadstand']"
is­rael war gaza list key events day 76,gaza death toll crossed 20000 new evac­u­a­tion or­ders an­nounced khan you­nis,21-12-2023,Al Jazeera,"['is\xadrael', 'war', 'gaza', 'list', 'key', 'events', 'day', '76']","['gaza', 'death', 'toll', 'crossed', '20000', 'new', 'evac\xadu\xada\xadtion', 'or\xadders', 'an\xadnounced', 'khan', 'you\xadnis']"
meta sti­fling pro-pales­tine voic­es so­cial me­dia rights group says,cen­sor­ship hun­dreds posts face­book in­sta­gram dur­ing gaza war fur­thers era­sure pales­tini­ans suf­fer­ing,21-12-2023,Al Jazeera,"['meta', 'sti\xadfling', 'pro-pales\xadtine', 'voic\xades', 'so\xadcial', 'me\xaddia', 'rights', 'group', 'says']","['cen\xadsor\xadship', 'hun\xaddreds', 'posts', 'face\xadbook', 'in\xadsta\xadgram', 'dur\xading', 'gaza', 'war', 'fur\xadthers', 'era\xadsure', 'pales\xadtini\xadans', 'suf\xadfer\xading']"
pho­tos is­rael con­tin­ues dead­ly gaza strikes amid hopes an­oth­er truce,20000 pales­tini­ans killed is­raeli at­tacks gaza since oc­to­ber 7,21-12-2023,Al Jazeera,"['pho\xadtos', 'is\xadrael', 'con\xadtin\xadues', 'dead\xadly', 'gaza', 'strikes', 'amid', 'hopes', 'an\xadoth\xader', 'truce']","['20000', 'pales\xadtini\xadans', 'killed', 'is\xadraeli', 'at\xadtacks', 'gaza', 'since', 'oc\xadto\xadber', '7']"
